Hashtag,Qtd. de posts,Curtidas médias,Engajamento médio,Visualizações (total)
dicadodia,1,9090.0,8.0,116600
naredecomvina,2,9090.0,8.0,233200
vinanaareia,1,9090.0,8.0,116600
videoviral,2,338100.0,8.0,9400000
fypviralシ,2,338100.0,8.0,9400000
futevoleimaior,3,43133.333333333336,8.0,1502200
saúde,1,92300.0,7.9,1500000
cortes,1,92300.0,7.9,1500000
ftvdepressao,1,46100.0,7.9,598000
bauru,1,27300.0,7.8,396800
ipa,1,27300.0,7.8,396800
paraty,1,1605.0,7.7,24000
dicas,4,2114.75,7.7,126500
footvolley,7,649081.2857142857,7.6,71642777
paravcシ,1,13100.0,7.6,175000
fypageシ,1,13100.0,7.6,175000
kkkkkk,1,93900.0,7.5,1300000
tafc,2,129613.5,7.5,2546300
futevoleirj,6,16234.333333333334,7.4,1377648
areia,2,3052.5,7.3,89000
yyy,1,1608.0,7.2,23100
futevoleicerrado,1,88100.0,7.2,1300000
fyyy,2,2404.5,7.0,106600
estilo,1,55800.0,7.0,800100
famosos,1,55800.0,7.0,800100
noticias,1,55800.0,7.0,800100
fofocas,1,55800.0,7.0,800100
fut,4,21848.0,7.0,1346700
campeonatofutevolei,1,6481.0,6.9,97800
futvoleifeminino,5,42745.0,6.8,2705300
campeao,1,78700.0,6.8,1200000
futvoleidadepressao,1,78700.0,6.8,1200000
fypa,1,78700.0,6.8,1200000
futevoleiraiz,7,19916.0,6.7,1990848
resenhaboa,1,21700.0,6.7,338200
bencashow,1,21700.0,6.7,338200
circuitoshark,1,21700.0,6.7,338200
fyyyyyyyyyyyyyyyy,2,463.5,6.4,12983
sports,2,1097.5,6.4,28093
mikasafutevôlei,2,1097.5,6.4,28093
funny,2,1097.5,6.4,28093
futevoleinaveia,7,24572.285714285714,6.4,2133848
oqueeufaria,1,3766.0,6.4,63900
eujogofutevolei,2,1601523.5,6.3,40185900
vemprotreino,1,4280.0,6.3,72600
praiaénossocampo,1,4280.0,6.3,72600
auladefutevôlei,1,4280.0,6.3,72600
brasilopendefutevolei,1,6836.0,6.2,117000
rj,1,714.0,6.2,12400
sharkattack,1,4968.0,6.0,108300
esportesnaareia,1,1655.0,5.9,31400
beachtennisbh,1,1655.0,5.9,31400
beachtennis_brasil,1,1655.0,5.9,31400
worldfootvolley,2,2055700.0,5.9,66000000
tiktok,1,599.0,5.8,10600
futevoleishowdomilhão,1,864.0,5.6,15600
sucesso,1,26900.0,5.6,490500
processo,1,26900.0,5.6,490500
memes,7,42351.71428571428,5.5,2339264
spaktakraw,1,685.0,5.4,14100
expolondrina,1,90800.0,5.4,1700000
bença,1,12900.0,5.3,247500
futevoleimg,4,727.0,5.3,36148
futevoleibrasilia,4,727.0,5.3,36148
futevoleisp,4,727.0,5.3,36148
torneio,2,41686.0,5.0,1349500
vice,2,41686.0,5.0,1349500
campeonato,2,41686.0,5.0,1349500
sampa,2,13186.0,4.9,487700
tiktokbeleza,2,664.0,4.5,29500
explorer,2,664.0,4.5,29500
fouryoupage,1,23.0,4.2,622
fly,1,23.0,4.2,622
memesfutevolei,6,493.6666666666667,4.1,39264
paraiba,1,695.0,4.1,18100
jogadora,1,695.0,4.1,18100
freestylefootball,1,911400.0,3.6,25900000
curiosidades,1,10400.0,3.6,297700
influencer,1,10400.0,3.6,297700
biscoito🍪,1,111200.0,3.5,3200000
trending,1,13400.0,3.5,403300
aftermovie,1,287.0,3.3,10400
anacastela,2,46452.0,3.3,1895000
trendin,1,1187.0,3.2,40600
fypag,1,4672.0,3.2,149500
volei,1,4.0,3.1,128
voleibol,1,4.0,3.1,128
athleta,1,259.0,2.9,9968
memesbrasil,1,51.0,2.9,2432
memesengraçados,1,51.0,2.9,2432
anao,2,3617.0,2.9,709000
🌈,1,822.0,2.8,29900
esportes,1,822.0,2.8,29900
comediaftv,1,4214.0,2.6,180600
perolasdoftv,1,4214.0,2.6,180600
footvolleymaster,1,4214.0,2.6,180600
fouryou,2,100.0,2.5,26622
paraguayosporelmundo🇵🇾🇵🇾🇵🇾❤️❤️❤️❤️🇪🇦🇪🇦🇪🇦,1,636.0,2.2,30800
piquivolei,1,636.0,2.2,30800
paraguaytiktok🇵🇾,1,636.0,2.2,30800
so,1,753.0,1.9,41400
cartomante,1,753.0,1.9,41400
tik_tok,1,130.0,1.6,8989
brasilian,1,3321.0,1.6,219600
loveyou,1,3321.0,1.6,219600
fyyyy,1,10.0,1.6,709
rotina,1,10.0,1.6,709
cafedamanha,1,10.0,1.6,709
acreditaevai,1,38100.0,1.4,2700000
semprecreators,1,38100.0,1.4,2700000
foryoy,1,4101.0,1.2,396900
essavibe,1,4101.0,1.2,396900
verão,1,2104.0,1.1,195000
boiadeira,1,2104.0,1.1,195000
dudabertelli,1,2104.0,1.1,195000
arena,1,177.0,0.9,26000
viral_video,1,177.0,0.9,26000
py,1,177.0,0.9,26000
fotografia,1,177.0,0.9,26000
josy,1,3227.0,0.4,746300
feminino,1,3227.0,0.4,746300
engraçado,1,3.0,0.4,684
